15:28:46.788 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/get_type],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.getMalfunctionType(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.789 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/get_list],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.getMalfunctionList(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.796 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/get_list],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.getPatrols(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.797 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/log],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.getPatrolLogs(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.797 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/quick_clock],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.setQuickClock(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.803 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/add],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.addPatrol(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.804 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/filtrate],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.getPatrolReport(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.804 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/clock],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.setClock(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.804 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/lot_clock],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.setLotClock(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.805 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/patrolTimeInterval],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.patrolTimeInterval(java.lang.String)
15:28:46.805 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/patrol_time_1.1],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.getPatrolTimes1_1(java.lang.String)
15:28:46.806 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/get_type],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.getAllPatrolTypes(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.806 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/patrol/point_list],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.PatrolController_app1.getAllPatrolPoints(java.util.Map<java.lang.String, java.lang.Object>)
